frame,hip_R_3d,hip_R_xy,hip_R_yz,hip_R_xz,knee_R_3d,knee_R_xy,knee_R_yz,knee_R_xz,ankle_R_3d,ankle_R_xy,ankle_R_yz,ankle_R_xz,hip_L_3d,hip_L_xy,hip_L_yz,hip_L_xz,knee_L_3d,knee_L_xy,knee_L_yz,knee_L_xz,ankle_L_3d,ankle_L_xy,ankle_L_yz,ankle_L_xz,pelvic_yz,pelvic_xz,28_x,28_y,28_z,27_x,27_y,27_z,24_x,23_x,11_y,12_y,pelvis_z,knee_xy_r,knee_xy_l,ankle_xy_r,ankle_xy_l,knee_xy,ankle_xy,img_w,img_h,scale_cm_per_px
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3390860557549213e-05,,,,,,,1920.0,1080.0,0.2
